,Record ID,SchoolName,City,State,Borough,ZipCode,LastInspection,Permittee,InspectionDate,PTET,Site Type,Level,Code,ViolationDescription,LATITUDE,LONGITUDE,COUNCILDISTRICT,BIN,Address,2021-2022 Segment Enrollment,Public Status
0,40547725,"I.S. 034 TOTTENVILLE, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25",,NY,Staten Island,10307.0,12/21/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,12/21/2022,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.50789326,-74.24273775,51,5088090.0,350 YETMAN AVENUE,61797,Public
1,40547725,"I.S. 034 TOTTENVILLE, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25",,NY,Staten Island,10307.0,12/21/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,3/10/2022,2530,FSE (Public School Cafeteria),,,,40.50789326,-74.24273775,51,5088090.0,350 YETMAN AVENUE,61797,Public
2,40540220,P.S. 001 TOTTENVILLE,,NY,Staten Island,10307.0,12/21/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,12/21/2022,2530,FSE (Public School Cafeteria),G,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,40.50902942,-74.24411561,51,5107854.0,58 SUMMIT STREET,61797,Public
3,40540220,P.S. 001 TOTTENVILLE,,NY,Staten Island,10307.0,12/21/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,3/10/2022,2530,FSE (Public School Cafeteria),,,,40.50902942,-74.24411561,51,5107854.0,58 SUMMIT STREET,61797,Public
4,40540237,SOUTH RICHMOND HS (Bldg 24) PS/IS 25,,NY,Staten Island,10309.0,12/7/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,1/18/2022,2530,FSE (Public School Cafeteria),,,,40.50907658,-74.22092791,51,5123970.0,6581 HYLAN BOULEVARD,61797,Public
5,40540237,SOUTH RICHMOND HS (Bldg 24) PS/IS 25,,NY,Staten Island,10309.0,12/7/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,12/7/2022,2530,FSE (Public School Cafeteria),,,,40.50907658,-74.22092791,51,5123970.0,6581 HYLAN BOULEVARD,61797,Public
6,40540511,SOUTH RICHMOND HS SGT ANGEL MENDEZ CENTER,,NY,Staten Island,10309.0,12/7/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,5/18/2021,2530,FSE (Public School Cafeteria),G,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,40.50907658,-74.22092791,51,5123970.0,6581 HYLAN BOULEVARD,61797,Public
7,40540511,SOUTH RICHMOND HS SGT ANGEL MENDEZ CENTER,,NY,Staten Island,10309.0,12/7/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,1/18/2022,2530,FSE (Public School Cafeteria),,,,40.50907658,-74.22092791,51,5123970.0,6581 HYLAN BOULEVARD,61797,Public
8,40540511,SOUTH RICHMOND HS SGT ANGEL MENDEZ CENTER,,NY,Staten Island,10309.0,12/7/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,5/18/2021,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.50907658,-74.22092791,51,5123970.0,6581 HYLAN BOULEVARD,61797,Public
9,40540511,SOUTH RICHMOND HS SGT ANGEL MENDEZ CENTER,,NY,Staten Island,10309.0,12/7/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,12/7/2022,2530,FSE (Public School Cafeteria),,,,40.50907658,-74.22092791,51,5123970.0,6581 HYLAN BOULEVARD,61797,Public
