,Record ID,SchoolName,City,State,Borough,ZipCode,LastInspection,Permittee,InspectionDate,PTET,Site Type,Level,Code,ViolationDescription,LATITUDE,LONGITUDE,COUNCILDISTRICT,BIN,Address,2021-2022 Segment Enrollment,Public Status
0,40542839,"P.S. 127 MCKINLEY PARK, RALPH A. FABRIZIO SCHOOL ANNEX",Brooklyn,NY,Brooklyn,11228.0,2/2/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/28/2022,2530,FSE (Public School Cafeteria),,,,40.62412501,-74.01882585,43,3150481.0,7805 7 AVENUE,260855,Public
1,40540347,P.S. 005 HUGUENOT,STATEN ISLAND,NY,Staten Island,,2/15/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,2/15/2023,2530,FSE (Public School Cafeteria),,,,40.53054515,-74.18770121,51,,348 DEISIUS STREET,61797,Public
2,40542116,P.S. 135 SHELDON A. BROOKNER,Brooklyn,NY,Brooklyn,11203.0,1/23/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,11/17/2022,2530,FSE (Public School Cafeteria),C,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,40.65363265,-73.93311442,41,3102005.0,684 LINDEN BOULEVARD,260855,Public
3,40542900,"PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE, LEARNING TO WORK YABC AT MONROE ACADEMY, THE METRO",Bronx,NY,Bronx,10472.0,3/9/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,3/9/2023,2530,FSE (Public School Cafeteria),C,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.83159438,-73.87891119,18,2027459.0,1300 BOYNTON AVENUE,168582,Public
4,40541560,"PS811M @ PS 149M, SUCCESS ACADEMY CHARTER-HARLEM 1",New York,NY,Manhattan,10026.0,1/31/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,8/1/2022,2530,FSE (Public School Cafeteria),C,04M,Live roaches in facility's food or non-food area.,40.80246372,-73.9467153,9,1051434.0,34 WEST  118 STREET,152463,Public
5,40542147,"P.S. 244 RICHARD R. GREEN, BROOKLYN SCIENCE AND ENGINEERING ACADEMY",Brooklyn,NY,Brooklyn,11203.0,1/23/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/19/2022,2530,FSE (Public School Cafeteria),C,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.64841318,-73.92597722,45,3104513.0,5400 TILDEN AVENUE,260855,Public
6,40541310,P.S. 183 DR. RICHARD R. GREEN,Far Rockaway,NY,Queens,11693.0,3/6/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/14/2022,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.58950028,-73.80536212,31,4303354.0,245 BEACH   79 STREET,263898,Public
7,50113383,BEDFORD STUYVESANT NEW BEGINNING CHARTER SCHOOL,Brooklyn,NY,Brooklyn,11206.0,3/9/2023,SLA MANAGEMENT INC,12/9/2021,2529,FSE (Private School Cafeteria - For Profit),,,,40.69467223,-73.93738968,36,3043017.0,82 LEWIS AVENUE,116725,Private
8,50082553,CHALLENGE PREPARATORY MIDDLE CHARTER SCHOOL,FAR ROCKAWAY,NY,Queens,11691.0,10/27/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,10/27/2022,2531,FSE (Private School Cafeteria),,,,40.60563956,-73.75141703,31,4297966.0,1526 CENTRAL AVE,39686,Private
9,50047517,ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,JAMAICA,NY,Queens,11433.0,10/24/2022,ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,2/18/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,40.69221801,-73.78806942,27,4000000.0,11051 GUY R BREWER BLVD,39686,Private
