District Number,Web Page
1,https://council.nyc.gov/district-1/
2,https://council.nyc.gov/district-2/
3,https://council.nyc.gov/district-3/
4,https://council.nyc.gov/district-4/
5,https://council.nyc.gov/district-5/
6,https://council.nyc.gov/district-6/
7,https://council.nyc.gov/district-7/
8,https://council.nyc.gov/district-8/
9,https://council.nyc.gov/district-9/
10,https://council.nyc.gov/district-10/
11,https://council.nyc.gov/district-11/
12,https://council.nyc.gov/district-12/
13,https://council.nyc.gov/district-13/
14,https://council.nyc.gov/district-14/
15,https://council.nyc.gov/district-15/
16,https://council.nyc.gov/district-16/
17,https://council.nyc.gov/district-17/
18,https://council.nyc.gov/district-18/
19,https://council.nyc.gov/district-19/
20,https://council.nyc.gov/district-20/
21,https://council.nyc.gov/district-21/
22,https://council.nyc.gov/district-22/
23,https://council.nyc.gov/district-23/
24,https://council.nyc.gov/district-24/
25,https://council.nyc.gov/district-25/
26,https://council.nyc.gov/district-26/
27,https://council.nyc.gov/district-27/
28,https://council.nyc.gov/district-28/
29,https://council.nyc.gov/district-29/
30,https://council.nyc.gov/district-30/
31,https://council.nyc.gov/district-31/
32,https://council.nyc.gov/district-32/
33,https://council.nyc.gov/district-33/
34,https://council.nyc.gov/district-34/
35,https://council.nyc.gov/district-35/
36,https://council.nyc.gov/district-36/
37,https://council.nyc.gov/district-37/
38,https://council.nyc.gov/district-38/
39,https://council.nyc.gov/district-39/
40,https://council.nyc.gov/district-40/
41,https://council.nyc.gov/district-41/
42,https://council.nyc.gov/district-42
